"Bu ürünü çok sevdim",olumlu
"Gerçekten harika",olumlu
"Beklentilerimin üzerindeydi",olumlu
"Gayet baþarýlý bir ürün",olumlu
"Ýþimi fazlasýyla gördü",olumlu
"Memnun kaldým",olumlu
"Parasýný hak ediyor",olumlu
"Kalitesi beklediðimden iyiydi",olumlu
"Tekrar alýrým",olumlu
"Oldukça tatmin edici",olumlu

"Berbat bir deneyimdi",olumsuz
"Hiç memnun kalmadým",olumsuz
"Tam bir hayal kýrýklýðý",olumsuz
"Beklentilerimi karþýlamadý",olumsuz
"Bir daha almam",olumsuz
"Kalitesi çok kötü",olumsuz
"Zaman kaybýydý",olumsuz
"Parama yazýk oldu",olumsuz
"Hiç beðenmedim",olumsuz
"Sorunluydu",olumsuz

"Fena deðil",nötr
"Ne iyi ne kötü",nötr
"Ýdare eder",nötr
"Ortalama bir ürün",nötr
"Beklediðim gibiydi",nötr
"Normaldi",nötr
"Çok bir fark yaratmadý",nötr
"Ýþ görür",nötr
"Kararsýzým",nötr
"Standart bir deneyimdi",nötr
